state,year,month,new_cases,new_deaths,year-month,case_id
DC,2022,Dec,2951,4,2022-12,354
DC,2022,Feb,3585,31,2022-02,355
DC,2022,Jan,24274,68,2022-01,356
DC,2022,Jul,5889,13,2022-07,357
DC,2022,Jun,7000,8,2022-06,358
DC,2022,Mar,2925,11,2022-03,359
DC,2022,May,8360,3,2022-05,360
DC,2022,Nov,1567,5,2022-11,361
DC,2022,Oct,1399,0,2022-10,362
DC,2022,Sep,2476,11,2022-09,363
DC,2023,Apr,327,1,2023-04,364
DC,2023,Feb,1289,8,2023-02,365
DC,2023,Jan,1866,11,2023-01,366
DC,2023,Mar,788,3,2023-03,367
DC,2023,May,75,1,2023-05,368
DE,2020,Apr,5728,260,2020-04,369
DE,2020,Aug,2172,17,2020-08,370
DE,2020,Dec,25988,329,2020-12,371
DE,2020,Feb,4,0,2020-02,372
DE,2020,Jan,9,0,2020-01,373
DE,2020,Jul,3674,47,2020-07,374
DE,2020,Jun,2044,68,2020-06,375
DE,2020,Mar,454,13,2020-03,376
DE,2020,May,3682,234,2020-05,377
DE,2020,Nov,11703,97,2020-11,378
DE,2020,Oct,4964,97,2020-10,379
DE,2020,Sep,2895,31,2020-09,380
DE,2021,Apr,10042,87,2021-04,381
DE,2021,Aug,8563,56,2021-08,382
DE,2021,Dec,41761,204,2021-12,383
DE,2021,Feb,8565,145,2021-02,384
DE,2021,Jan,16472,304,2021-01,385
DE,2021,Jul,2190,19,2021-07,386
DE,2021,Jun,797,20,2021-06,387
DE,2021,Mar,6429,67,2021-03,388
DE,2021,May,2702,36,2021-05,389
DE,2021,Nov,9334,82,2021-11,390
DE,2021,Oct,8824,101,2021-10,391
DE,2021,Sep,15335,147,2021-09,392
DE,2022,Apr,5122,22,2022-04,393
DE,2022,Aug,7224,35,2022-08,394
DE,2022,Dec,6842,53,2022-12,395
DE,2022,Feb,6267,128,2022-02,396
DE,2022,Jan,55074,290,2022-01,397
DE,2022,Jul,9139,42,2022-07,398
DE,2022,Jun,9460,42,2022-06,399
DE,2022,Mar,2626,59,2022-03,400
DE,2022,May,13648,27,2022-05,401
DE,2022,Nov,3347,35,2022-11,402
DE,2022,Oct,3922,23,2022-10,403
DE,2022,Sep,6582,46,2022-09,404
DE,2023,Apr,548,7,2023-04,405
DE,2023,Feb,3218,36,2023-02,406
DE,2023,Jan,4609,56,2023-01,407
DE,2023,Mar,1702,32,2023-03,408
DE,2023,May,111,0,2023-05,409
FL,2020,Apr,30980,1449,2020-04,410
FL,2020,Aug,141717,3873,2020-08,411
FL,2020,Dec,358356,3538,2020-12,412
FL,2020,Feb,0,0,2020-02,413
FL,2020,Jan,0,0,2020-01,414
FL,2020,Jul,340647,4075,2020-07,415
FL,2020,Jun,67877,988,2020-06,416
FL,2020,Mar,2547,87,2020-03,417
FL,2020,May,19353,1028,2020-05,418
FL,2020,Nov,174902,1858,2020-11,419
FL,2020,Oct,103178,2607,2020-10,420
FL,2020,Sep,78067,2813,2020-09,421
FL,2021,Apr,198418,2067,2021-04,422
FL,2021,Aug,594181,4900,2021-08,423
FL,2021,Dec,484173,984,2021-12,424
FL,2021,Feb,195959,4241,2021-02,425
FL,2021,Jan,347733,4706,2021-01,426
FL,2021,Jul,270637,1307,2021-07,427
FL,2021,Jun,46085,847,2021-06,428
FL,2021,Mar,133586,2155,2021-03,429
FL,2021,May,88020,1440,2021-05,430
FL,2021,Nov,43579,1882,2021-11,431
FL,2021,Oct,74954,4316,2021-10,432
FL,2021,Sep,401647,11309,2021-09,433
FL,2022,Apr,74114,673,2022-04,434
FL,2022,Aug,208835,2021,2022-08,435
FL,2022,Dec,110218,921,2022-12,436
FL,2022,Feb,297433,4836,2022-02,437
FL,2022,Jan,1306817,2483,2022-01,438
FL,2022,Jul,295023,1690,2022-07,439
FL,2022,Jun,368420,1405,2022-06,440
FL,2022,Mar,51324,3480,2022-03,441
FL,2022,May,199274,513,2022-05,442
FL,2022,Nov,47904,738,2022-11,443
FL,2022,Oct,41532,944,2022-10,444
FL,2022,Sep,119764,1845,2022-09,445
FL,2023,Apr,30358,0,2023-04,446
FL,2023,Feb,65281,1068,2023-02,447
FL,2023,Jan,104296,1346,2023-01,448
FL,2023,Mar,48156,706,2023-03,449
FL,2023,May,6937,0,2023-05,450
FSM,2020,Apr,0,0,2020-04,451
